Step Temp Press PotEng Nconf Lcom[3] Ucom[3] fe fx fy fz fse fsx fsy fsz 
   12200    299.07562   -68.470552   -683389.93          496    93.262624    120.75968    -519.6223   -12.616849 -0.058453665    -59.04657   -15115.549    47.820068    23.964096    41.781221 
   12300     298.5266    52.561638   -683531.48          494     93.27426    120.76842   -500.29263   -15.502645   0.27672648   -56.625438   -15131.082   -65.810851   -2.4987697    -67.36241 
   12400    297.90365    125.13326   -683697.68          497    93.294958    120.78835   -515.59504   -13.308541  0.097086973   -58.489138   -14938.137    87.738188    2.7536583     106.9088 
   12500    299.48274   -186.57297   -683711.31          489    93.309279    120.80417   -503.73392   -11.001532  0.016143709   -56.925886   -15084.398    8.4802363    42.876378   -102.50739 
   12600    300.87055    78.838579   -683557.12          494    93.322414    120.81483   -530.69781   -14.064288  0.085353824   -59.504696    -15188.75    51.064211    110.13543    110.02297 
   12700    300.63783   -604.13617   -683563.05          501    93.329809    120.82581   -541.54508   -12.399539  0.088100837   -60.279165    -15164.04   -45.947242    22.410896    33.040539 
   12800    298.26443   -321.91064   -683574.05          500     93.34566    120.84069   -521.89719   -12.694266  0.045053546   -58.550497   -15176.864   -44.054568    135.89939    145.15151 
   12900    297.01563   -305.18748   -683621.01          498    93.349118    120.84492   -517.18165    -12.78715   0.10544513   -57.892503   -15152.674    144.06208    25.841004    94.558684 
   13000    298.63053   -201.22477   -683606.56          500    93.352611    120.84784   -526.93222   -12.250064   0.15004267   -58.733067   -15069.917    20.862318   -70.169543    169.68586 
   13100    298.87149   -281.58279   -683419.11          501    93.354848    120.85142   -515.99981    -11.96828  0.044046777   -57.311359   -15071.806   -2.2483548   -36.461995    17.935857 
   13200    303.12359    219.37319   -683541.43          495    93.357619    120.85299   -504.71463   -12.335399   0.14610995   -57.136153   -15133.563     127.8175    2.4840327    48.403959 
   13300    300.36447   -526.05476   -683440.64          499    93.359951    120.85786   -510.01024   -12.655307  0.072156151   -57.193993   -15060.727    71.496174    41.929803     18.76186 
   13400    298.46732   -108.03883   -683443.25          494    93.359557    120.85653   -514.17933   -13.377999   0.10385852   -57.629822   -15016.687    39.107469     47.48365    149.22158 
   13500    298.86949    103.73603   -683533.22          496    93.356609    120.85431   -518.13567   -13.654922   0.17772417   -57.893428   -15057.804    79.876742    79.071322     -200.153 
   13600    299.77243   -427.43725   -683757.03          498    93.354075    120.85211   -515.40552   -13.628518   0.11991555   -57.971007   -15061.013   -32.551439    58.965999     11.69184 
   13700    298.29831   -485.66118   -683651.43          497    93.351088      120.849   -506.80603   -11.713791 -0.038604669   -57.739072    -15062.52    67.083681    30.634835    22.986201 
   13800    299.75528   -222.78653   -683659.64          501    93.340767    120.83674   -514.51775   -12.180754   0.20467245   -57.715242   -14949.843    9.1572618    -65.11152    26.777972 
   13900    299.01498    281.76762   -683545.45          498    93.331579    120.82557   -540.52857   -12.654625  0.035605574   -59.775192   -15094.343    161.04101   -33.184024    60.921956 
   14000    301.08503     49.86192   -683500.63          495    93.319793     120.8147   -509.74172   -12.465923   0.22394726    -56.31039   -15018.541     55.94417   -36.693577    152.75929 
   14100    300.40235    259.03012   -683434.42          498    93.312872    120.80611   -501.10608   -13.070346   0.35048249   -56.590677    -15017.11     73.90708    55.086511    173.95695 
   14200    300.94361    87.384601   -683599.13          499    93.302847    120.79767    -524.1615    -12.67072   0.13243239    -59.37088   -15076.992   -56.936675   -85.202815     88.41571 
   14300    297.89295    441.74532   -683631.62          496    93.298679    120.79315   -519.68392    -13.03183  0.021152464   -58.357619   -15148.922   -8.7417357   -8.0616905   -16.409988 
   14400    297.30591   -106.76832   -683666.68          499    93.291455    120.78721   -519.65457   -13.085742   0.14831311   -58.373273   -15161.539   -71.713439    -117.0224    57.381991 
   14500    301.55808   -21.951803   -683678.12          497    93.284023    120.77837   -515.73012   -11.950649   0.16611689   -58.912375   -15113.819     56.56208   -43.818792     282.0326 
   14600    302.56058    431.85497   -683582.44          496    93.276456    120.76987   -524.50729   -11.477638  0.083611141   -59.121532    -14993.25   -35.002114   -50.908822   -21.535334 
   14700    301.15428    84.537007   -683576.87          494    93.272981    120.76765   -507.53108   -13.781651  0.069073307   -58.487898   -15033.276    192.11377   -13.696837   -100.81254 
   14800    299.91064    201.01366   -683574.24          496     93.27199     120.7656    -502.0754   -11.155055 -0.065951773   -57.600124   -15009.411   -110.63258    -20.14734    25.410675 
